property_type,price_aprox_usd,surface_total_in_m2,borough,lat,lon
house,36880.53,,Álvaro Obregón,19.387764,-99.205826
house,1053729.67,,Tlalpan,19.284397,-99.195494
house,263432.41,,Coyoacán,19.353813,-99.163605
house,258926.82,,Benito Juárez,19.391253,-99.168867
apartment,31875.32,,Benito Juárez,19.379048,-99.148896
apartment,52686.48,0.0,Azcapotzalco,19.4734554757,-99.1856405139
house,471655.85,538.0,Benito Juárez,21.1673759,-86.8207766
apartment,26172.42,,Iztapalapa,19.386663,-99.029049
house,285628.46,,Gustavo A. Madero,19.508795,-99.125714
house,200256.11,85.0,Coyoacán,19.3303807,-99.1463071
apartment,380000.0,,Benito Juárez,21.119003,-86.768285
apartment,68668.03,,Miguel Hidalgo,19.401312,-99.173525
apartment,24235.78,,Azcapotzalco,19.504985,-99.208557
house,1475571.38,1426.0,Álvaro Obregón,19.3138847289,-99.2115466297
house,60603.82,259.0,Benito Juárez,21.177392,-86.8180099
apartment,135561.0,0.0,Benito Juárez,21.129547,-86.817017
house,342543.35,250.0,Álvaro Obregón,19.3376755,-99.2193671
apartment,58885.31,,Cuauhtémoc,19.404661,-99.133858
house,332451.71,,Coyoacán,19.345409,-99.125712
house,68492.42,200.0,Tlalpan,19.2463992247,-99.143296363
apartment,55896.01,,Álvaro Obregón,19.368823,-99.224603
house,480000.0,419.0,Benito Juárez,21.129547,-86.817017
apartment,66384.96,,Benito Juárez,19.36269,-99.150565
apartment,297000.0,0.0,Playa del Carmen,,
house,136405.3,,Álvaro Obregón,19.353288,-99.244721
apartment,95889.4,,Cuauhtémoc,19.427072,-99.166079
apartment,48518.15,,Cuauhtémoc,19.444918,-99.139807
apartment,59377.66,,Cuauhtémoc,19.443178,-99.144234
apartment,88226.41,,Álvaro Obregón,19.316805,-99.14943
house,102763.0,110.0,Benito Juárez,21.129547,-86.817017
apartment,54372.45,,Cuauhtémoc,19.452049,-99.144241
apartment,103942.38,,Azcapotzalco,19.4685547,-99.1600606
apartment,37354.71,,Miguel Hidalgo,19.441879,-99.167819
apartment,379342.68,,Cuauhtémoc,19.405298,-99.164986
house,195466.85,108.0,Tlalpan,19.2764735429,-99.2080684751
apartment,89567.02,,Venustiano Carranza,19.427443,-99.096555
apartment,147557.13,0.0,Cuajimalpa de Morelos,,
apartment,51627.48,,Coyoacán,19.323772,-99.116562
apartment,183989.52,,Benito Juárez,19.396018,-99.147827
house,121102.25,110.0,Benito Juárez,,
apartment,29574.66,,Venustiano Carranza,19.41526,-99.075364
house,94331.17,0.0,Benito Juárez,21.139271,-86.859673
apartment,42676.05,,Álvaro Obregón,19.359748,-99.253796
house,373020.3,,Álvaro Obregón,,
house,37229.03,,Álvaro Obregón,19.338942,-99.240301
apartment,183981.2,,Benito Juárez,19.396018,-99.147827
house,1300000.0,2000.0,Benito Juárez,21.139086,-86.84964
apartment,93465.82,,Benito Juárez,19.371321,-99.140985
apartment,148657.07,,Álvaro Obregón,19.335033,-99.200347
apartment,175231.5,,Miguel Hidalgo,19.428324,-99.176337
house,210745.93,,Tlalpan,19.283408,-99.218643
apartment,40568.59,,Álvaro Obregón,19.365175,-99.230064
apartment,57955.13,,Cuauhtémoc,19.459793,-99.140935
apartment,474290.8,188.0,Álvaro Obregón,19.3630571092,-99.2761516571
apartment,53740.21,,Coyoacán,19.326922,-99.121203
apartment,195500.0,110.0,Tulum,20.1997998,-87.454707
apartment,1400000.0,,Miguel Hidalgo,19.437045,-99.192255
apartment,602664.46,,Miguel Hidalgo,19.420166,-99.220367
house,130000.0,88.0,Tulum,20.209438,-87.467918
house,246104.22,,Coyoacán,19.341067,-99.122123
apartment,77533.42,,Benito Juárez,19.396705,-99.181902
apartment,22128.32,,Cuauhtémoc,19.458968,-99.152898
house,221283.23,,Coyoacán,19.312981,-99.131271
house,155425.12,,Cuajimalpa de Morelos,19.354464,-99.285307
apartment,32752.41,48.0,Gustavo A. Madero,19.527513,-99.1518421
house,262967.9,,Benito Juárez,23.634501,-102.552788
apartment,134909.38,130.0,Benito Juárez,19.3884015,-99.1476026
apartment,21109.68,,Cuauhtémoc,19.418844,-99.132357
apartment,93712.02,,Cuajimalpa de Morelos,,
house,480000.0,300.0,Benito Juárez,21.1334564148,-86.7593078624
apartment,76184.65,,Coyoacán,19.336994,-99.162355
apartment,120680.66,,Benito Juárez,19.367931,-99.170262
house,63238.77,0.0,Zacatecas,22.7593335,-102.5667365
house,81973.94,,Venustiano Carranza,19.412432,-99.098657
apartment,34509.64,,Tláhuac,19.299713,-99.037758
apartment,136299.93,,Álvaro Obregón,,
apartment,81242.55,,Benito Juárez,19.362864,-99.173988
apartment,29346.37,,Gustavo A. Madero,19.487729,-99.10539
apartment,152790.8,,Álvaro Obregón,,
apartment,102763.0,85.0,Iztacalco,19.3935712,-99.113412
apartment,135000.0,145.0,Solidaridad,,
apartment,259830.24,,Álvaro Obregón,19.3647167,-99.1950594
house,68492.42,0.0,Solidaridad,20.6566416,-87.0518092
house,36836.58,98.0,Solidaridad,20.6819504699,-87.0522817969
apartment,21902.43,,Iztapalapa,19.359645,-99.138745
apartment,675000.0,,Solidaridad,20.627593,-87.069489
house,100128.05,86.0,Coyoacán,19.310879,-99.138695
apartment,31963.15,,Iztacalco,19.403028,-99.106774
apartment,65873.72,25.0,Tlalpan,19.2963742,-99.1186279
apartment,225450.73,,Álvaro Obregón,19.358585,-99.185753
house,112749.07,,Iztapalapa,19.370405,-99.108882
apartment,1700000.0,160.0,Benito Juárez,21.161908,-86.8515279
house,295044.3,,Coyoacán,19.308756,-99.107574
apartment,60062.59,,Miguel Hidalgo,19.445954,-99.176116
house,119703.69,,Iztapalapa,19.325394,-99.094573
house,439000.0,263.0,Solidaridad,20.613375,-87.089897
apartment,59332.35,,Cuauhtémoc,19.410553,-99.133858
apartment,22396.9,0.0,Iztapalapa,19.3513303772,-99.0816683695
store,10537.29,,Cuajimalpa de Morelos,19.366254,-99.287392
house,1290818.85,,Cuauhtémoc,19.439644,-99.139649
apartment,86953.31,0.0,Benito Juárez,19.3834049,-99.1697365
house,850000.0,526.0,Solidaridad,,
house,108032.9,,La Magdalena Contreras,19.307591,-99.239991
apartment,225498.15,,Cuauhtémoc,19.405298,-99.164986
apartment,68070.93,,Iztacalco,19.400731,-99.125466
house,73497.64,,Gustavo A. Madero,19.549539,-99.129343
apartment,60589.45,,Gustavo A. Madero,19.469681,-99.086136
apartment,105372.96,,Gustavo A. Madero,19.492992,-99.149765
apartment,71653.61,,Álvaro Obregón,19.391592,-99.189134
apartment,91432.72,0.0,Benito Juárez,19.3954239765,-99.1330182552
apartment,126236.81,,Tlalpan,19.271467,-99.146309
apartment,93465.82,,Benito Juárez,19.40012,-99.1532
